No of GPS Satellites Available, Time Since Start of Day (seconds), Latitude (degrees), Longitude (degrees), Velocity (km/hr), Heading (degrees), Height (km), Vertical velocity (km/hr), Sample period (seconds), Steering Angle (degrees), Wheel Speed Front Left (rad/sec), Wheel Speed Front Right (rad/sec), Wheel Speed Rear Left (rad/sec), Wheel Speed Rear Right (rad/sec), Yaw Rate (deg/sec), Indicated Vehicle Speed (km/hr), Indicated Longitudinal Acceleration (g), Indicated Lateral Acceleration (g), Handbrake (0 or 1), Gear Requested (Number fof gear employed 1-5), Gear (Number fof gear employed 1-5), Engine Speed (rev/min), Coolant Temperature (degrees), Clutch Position (0 or 1), Brake Pressure (psi), Brake Position (0 or 1), Battery Voltage (volts), Air Temperature (degrees), Accelerator Pedal Position (0 or 1)
140.0,38707.5,52.5530099,-1.4645286999999998,46.53,307.779,96.85,-0.12,0.1,0.0,47.3,47.91,46.89999,47.62999,8.600006,47.37,0.1193398999999999,0.1999198999999999,0.0,3.0,3.0,2712.0,79.0,0.0,0.04000854,0.0,14.4,6.75,32.0
140.0,38707.6,52.553017,-1.4645441,47.11,307.222,96.83,-0.13,0.1,0.0,47.83,48.2,47.23999,48.2,8.800018,47.91,0.12954,0.2101199999999999,0.0,3.0,3.0,2726.0,79.0,0.0,-0.1900024,0.0,14.4,6.75,32.0
140.0,38707.7,52.553024,-1.4645599,47.534,306.068,96.82,-0.13,0.1,0.0,48.25,48.75999,47.8,48.64999,8.899994,48.4,0.1193398999999999,0.2295001,0.0,3.0,3.0,2753.0,79.0,0.0,-0.1900024,0.0,14.3,6.75,32.0
140.0,38707.8,52.5530309,-1.4645759,48.071000000000005,305.288,96.81,-0.13,0.1,0.0,48.61,49.42,48.36,49.08,9.300018,48.87,0.1193398999999999,0.2193,0.0,3.0,3.0,2776.0,79.0,0.0,0.04000854,0.0,14.4,6.75,32.0
140.0,38707.9,52.5530378,-1.4645924,48.618,304.369,96.79,-0.14,0.1,0.0,49.11,49.84,48.69,49.62,9.700012,49.28,0.1193398999999999,0.2193,0.0,3.0,3.0,2810.0,79.0,0.0,-0.1900024,0.0,14.4,6.75,32.0
140.0,38708.0,52.553044500000006,-1.4646091,48.794,303.438,96.78,-0.14,0.1,0.0,49.709990000000005,50.17,49.14999,50.0,9.399994,49.77,0.1091398999999999,0.2193,0.0,3.0,3.0,2843.0,79.0,0.0,0.04000854,0.0,14.3,6.75,32.0
140.0,38708.1,52.5530511,-1.4646262,49.547,302.553,96.75,-0.16,0.1,0.0,50.08,50.67,49.75999,50.48999,8.5,50.23,0.1193398999999999,0.1795198999999999,0.0,3.0,3.0,2872.0,79.0,0.0,-0.1900024,0.0,14.3,6.75,32.0
140.0,38708.2,52.5530576,-1.4646436,49.604,301.513,96.73,-0.15,0.1,0.0,50.5,51.09,50.37999,50.78999,6.700011999999999,50.82,0.12954,0.09995985,0.0,3.0,3.0,2895.0,79.0,0.0,0.04000854,0.0,14.4,6.75,32.0
140.0,38708.3,52.55306399999999,-1.4646612,50.17,300.817,96.72,-0.15,0.1,0.0,50.95,51.41,50.66,51.25999,5.5,51.09,0.12954,0.08976007,0.0,3.0,3.0,2901.0,79.0,0.0,-0.1900024,0.0,14.4,6.75,32.0
140.0,38708.4,52.5530705,-1.4646792,50.922,300.62,96.71,-0.14,0.1,0.0,51.53999,51.73,51.17,51.64999,5.100006,51.4,0.1193398999999999,0.09995985,0.0,3.0,3.0,2940.0,79.0,0.0,0.04000854,0.0,14.4,6.75,32.0
140.0,38708.5,52.5530769,-1.4646974,51.203,299.995,96.69,-0.15,0.1,0.0,51.92999,52.28,51.72,52.19,5.5,51.91,0.1091398999999999,0.08976007,0.0,3.0,3.0,2989.0,79.0,0.0,-0.1900024,0.0,14.3,6.75,32.0
140.0,38708.6,52.5530833,-1.4647157,51.552,299.897,96.68,-0.15,0.1,0.0,52.39,52.67999,52.03999,52.42,4.800018,52.48,0.1091398999999999,0.1091398999999999,0.0,3.0,3.0,3038.0,79.0,0.0,0.04000854,0.0,14.3,6.75,32.0
140.0,38708.7,52.55308960000001,-1.4647343,51.826,299.034,96.68,-0.14,0.1,0.0,52.62999,53.06,52.5,52.73,5.300018,52.71,0.1193398999999999,0.1193398999999999,0.0,4.0,3.0,3066.0,79.0,0.0,-0.1900024,0.0,14.4,6.75,32.0
140.0,38708.8,52.5530959,-1.4647532,52.618,298.631,96.66,-0.14,0.1,0.0,53.05,53.53999,52.89999,53.37,5.100006,53.03,0.09995985,0.1091398999999999,0.0,4.0,3.0,3167.0,79.0,0.0,-0.1900024,0.0,14.3,6.75,32.0
140.0,38708.9,52.5531021,-1.4647724,53.05,298.086,96.66,-0.12,0.1,0.0,53.59,53.64999,53.03,53.349990000000005,4.600006,53.35,0.08976007,0.07956004,0.0,4.0,3.0,3213.0,79.0,0.0,0.04000854,0.0,14.4,6.75,32.0
140.0,38709.0,52.5531083,-1.4647916,53.075,297.786,96.64,-0.15,0.1,0.0,53.8,53.92,53.59,53.98999,2.899994,53.75,0.09995985,0.0397799,0.0,4.0,3.0,3199.0,79.0,0.0,-0.1900024,0.0,14.3,6.75,32.5
140.0,38709.1,52.553114400000005,-1.4648111,53.654,297.323,96.61,-0.16,0.1,0.0,54.25999,54.25999,53.98,54.00999,1.100006,54.19,0.09995985,0.0,0.0,4.0,3.0,3173.0,79.0,0.0,0.04000854,0.0,14.3,6.75,33.0
140.0,38709.2,52.5531205,-1.4648308,53.903,296.926,96.59,-0.17,0.1,0.0,54.64999,54.61,54.56999,54.37,0.6000061,54.73,0.07956004,0.0,0.0,4.0,3.0,2977.0,79.0,0.0,0.04000854,0.0,14.3,6.75,33.0
140.0,38709.3,52.553126600000006,-1.4648506,54.108,296.956,96.56,-0.19,0.1,0.0,55.00999,55.14999,54.64,54.73999,0.8999939,54.88,0.07956004,0.0,0.0,4.0,3.0,2631.0,79.0,0.0,0.04000854,0.0,14.3,6.75,33.0
140.0,38709.4,52.5531328,-1.4648705,54.63,296.996,96.55,-0.17,0.1,0.0,55.41,55.51999,55.19,55.26999,1.100006,55.34,0.09995985,0.0,0.0,4.0,3.0,2266.0,79.0,0.0,0.04000854,0.0,14.4,6.75,33.0
139.0,38709.5,52.5531391,-1.4648906,54.94,296.899,96.53,-0.18,0.1,0.0,55.83,55.64999,55.48,55.56,1.0,55.65,0.09995985,0.009180069,0.0,4.0,3.0,2249.0,79.0,0.0,-0.1900024,0.0,14.3,6.75,33.0
139.0,38709.6,52.5531453,-1.4649108,55.415,296.902,96.51,-0.18,0.1,0.0,56.3,56.14,55.95,56.06999,0.8999939,56.05,0.09995985,0.009180069,0.0,4.0,3.0,2288.0,79.0,0.0,0.04000854,0.0,14.3,6.75,33.0
139.0,38709.7,52.5531516,-1.4649313,55.84,296.697,96.48,-0.19,0.1,0.0,56.53999,56.51999,56.31,56.23,0.7000122,56.5,0.09995985,0.009180069,0.0,4.0,3.0,2297.0,80.0,0.0,0.04000854,0.0,14.3,6.75,33.0
139.0,38709.8,52.5531579,-1.4649518,56.228,296.622,96.45,-0.21,0.1,0.0,56.94,56.97,56.87,56.66,0.7000122,56.98,0.08976007,0.009180069,0.0,4.0,3.0,2308.0,79.0,0.0,0.04000854,0.0,14.3,6.75,33.0
139.0,38709.9,52.5531642,-1.4649724999999998,56.47,296.632,96.42,-0.22,0.1,0.0,57.33,57.47,57.12999,57.12999,0.8999939,57.3,0.08976007,0.0,0.0,4.0,3.0,2331.0,80.0,0.0,0.04000854,0.0,14.4,6.75,33.0
139.0,38710.0,52.5531706,-1.4649933,56.862,296.486,96.41,-0.21,0.1,0.0,57.72,57.86,57.42,57.5,0.8999939,57.58,0.08976007,0.009180069,0.0,4.0,3.0,2348.0,80.0,0.0,-0.1900024,0.0,14.4,6.75,33.0
139.0,38710.1,52.5531769,-1.4650143,57.229,296.4,96.38,-0.22,0.1,0.0,58.08,58.03999,57.75999,57.75999,0.8000183000000001,57.87,0.08976007,0.009180069,0.0,4.0,3.0,2367.0,80.0,0.0,0.04000854,0.0,14.3,6.75,33.0
139.0,38710.2,52.5531833,-1.4650356,57.791,296.306,96.35,-0.22,0.1,0.0,58.48,58.31999,58.11,58.11,0.8999939,58.27,0.08976007,0.009180069,0.0,4.0,3.0,2380.0,80.0,0.0,0.04000854,0.0,14.4,6.75,33.0
139.0,38710.3,52.5531898,-1.4650568,57.974,296.326,96.33,-0.22,0.1,0.0,58.849990000000005,58.69,58.55,58.709990000000005,0.8999939,58.63,0.08976007,0.009180069,0.0,4.0,3.0,2397.0,80.0,0.0,0.04000854,0.0,14.4,6.75,33.5
139.0,38710.4,52.5531961,-1.4650782999999998,58.32,296.08,96.3,-0.24,0.1,0.0,59.16,59.11,58.94,59.03,0.8000183000000001,58.99,0.08976007,0.0,0.0,4.0,3.0,2423.0,80.0,0.0,0.04000854,0.0,14.4,6.75,34.5
139.0,38710.5,52.5532026,-1.4650998999999998,58.849,296.101,96.28,-0.24,0.1,0.0,59.53,59.48999,59.25,59.14999,0.8999939,59.45,0.08976007,0.0,0.0,4.0,3.0,2448.0,80.0,0.0,0.04000854,0.0,14.3,6.75,35.5
139.0,38710.6,52.5532091,-1.4651216,58.907,296.036,96.24,-0.24,0.1,0.0,59.84,59.78,59.75,59.48999,0.5,59.84,0.08976007,0.0,0.0,4.0,3.0,2470.0,80.0,0.0,0.04000854,0.0,14.3,6.75,35.5
139.0,38710.7,52.5532156,-1.4651436000000002,59.641000000000005,295.962,96.21,-0.25,0.1,0.0,60.25,60.23,60.3,59.98999,0.2000122,60.21,0.08976007,-0.009180069,0.0,4.0,3.0,2471.0,80.0,0.0,0.04000854,0.0,14.4,6.75,35.5
139.0,38710.8,52.5532221,-1.4651656,59.846,295.868,96.19,-0.26,0.1,0.0,60.72,60.69,60.47,60.34,0.1000061,60.61,0.08976007,-0.009180069,0.0,4.0,3.0,2486.0,80.0,0.0,0.04000854,0.0,14.3,6.75,35.5
139.0,38710.9,52.5532287,-1.4651877,60.07,296.03,96.16,-0.26,0.1,0.0,61.06,61.17999,60.67,60.64,0.0,60.92,0.08976007,-0.009180069,0.0,4.0,3.0,2506.0,80.0,0.0,0.04000854,0.0,14.4,6.75,35.5
139.0,38711.0,52.5532353,-1.46521,60.545,295.85200000000003,96.13,-0.27,0.1,0.0,61.36,61.64,61.12999,61.209990000000005,0.3000183,61.3,0.08976007,0.0,0.0,4.0,3.0,2518.0,80.0,0.0,0.04000854,0.0,14.3,6.75,35.5
139.0,38711.1,52.553242,-1.4652325,61.06,295.878,96.1,-0.27,0.1,0.0,61.94,61.959990000000005,61.55,61.61,0.3000183,61.75,0.08976007,-0.009180069,0.0,4.0,3.0,2523.0,80.0,0.0,0.04000854,0.0,14.3,6.75,35.5
139.0,38711.2,52.5532487,-1.4652552,61.42,295.943,96.07,-0.27,0.1,0.0,62.23,62.2,61.89999,61.849990000000005,0.3000183,62.07,0.08976007,0.0,0.0,4.0,3.0,2538.0,80.0,0.0,0.04000854,0.0,14.3,6.75,35.5
139.0,38711.3,52.5532555,-1.4652778,61.657,295.97,96.03,-0.29,0.1,0.0,62.62999,62.48999,62.25999,62.16,0.2000122,62.49,0.08976007,0.0,0.0,4.0,3.0,2545.0,80.0,0.0,-0.1900024,0.0,14.4,6.75,35.5
139.0,38711.4,52.5532622,-1.4653008,62.201,295.728,96.0,-0.28,0.1,0.0,63.03,62.87999,62.66,62.67,0.3000183,62.9,0.08976007,0.0,0.0,4.0,3.0,2555.0,80.0,0.0,0.04000854,0.0,14.4,6.75,35.5
139.0,38711.5,52.5532691,-1.4653239,62.744,295.862,95.95,-0.31,0.1,0.0,63.48,63.28,63.17,63.14999,0.2000122,63.29,0.08976007,0.0,0.0,4.0,3.0,2561.0,80.0,0.0,0.04000854,0.0,14.4,6.75,35.5
139.0,38711.6,52.5532759,-1.4653471,62.986,295.92900000000003,95.91,-0.32,0.1,0.0,64.01999,63.75,63.53999,63.59,0.3999939,63.66,0.08976007,-0.009180069,0.0,4.0,3.0,2592.0,80.0,0.0,0.04000854,0.0,14.3,6.75,35.5
139.0,38711.7,52.553282800000005,-1.4653704,63.209,295.651,95.88,-0.32,0.1,0.0,64.36,64.17999,63.89,63.959990000000005,0.3999939,64.12,0.08976007,0.0,0.0,4.0,3.0,2599.0,80.0,0.0,0.04000854,0.0,14.3,6.75,35.5
139.0,38711.8,52.5532897,-1.4653938999999998,63.734,295.867,95.84,-0.33,0.1,0.0,64.7,64.50999,64.37999,64.48999,0.2000122,64.41,0.08976007,0.0,0.0,4.0,3.0,2615.0,80.0,0.0,0.04000854,0.0,14.4,6.75,35.5
139.0,38711.9,52.5532967,-1.4654176,64.145,295.672,95.81,-0.33,0.1,0.0,65.14,64.89999,64.78,64.89,0.2000122,64.86,0.08976007,0.0,0.0,4.0,3.0,2620.0,80.0,0.0,0.04000854,0.0,14.4,6.75,35.5
139.0,38712.0,52.5533037,-1.4654414,64.57300000000001,295.714,95.76,-0.34,0.1,0.0,65.45,65.36,65.17999,65.14999,0.1000061,65.27,0.08976007,-0.009180069,0.0,4.0,3.0,2647.0,80.0,0.0,-0.1900024,0.0,14.4,6.75,35.5
139.0,38712.1,52.5533107,-1.4654654,64.829,295.571,95.73,-0.34,0.1,0.0,66.06,65.78999,65.56999,65.67,0.1000061,65.72,0.08976007,0.0,0.0,4.0,3.0,2662.0,80.0,0.0,0.2799988,0.0,14.4,6.75,35.5
139.0,38712.2,52.5533177,-1.4654894,65.236,295.668,95.68,-0.35,0.1,0.0,66.23999,66.12999,65.92,65.86,0.0,65.98,0.08976007,-0.01938009,0.0,4.0,3.0,2667.0,80.0,0.0,0.04000854,0.0,14.4,6.75,35.5
139.0,38712.3,52.5533248,-1.4655136999999998,65.7,295.618,95.65,-0.35,0.1,0.0,66.67999,66.45999,66.36,66.23999,-0.6999816999999999,66.35,0.08976007,-0.03978014,0.0,4.0,3.0,2677.0,80.0,0.0,0.7599792,0.0,14.3,6.75,35.5
139.0,38712.4,52.553332,-1.4655382,66.15,295.491,95.61,-0.35,0.1,0.0,67.06999,66.86,66.66,66.56999,-1.299988,66.76,0.07956004,-0.04997993,0.0,4.0,3.0,2711.0,80.0,0.0,0.04000854,0.0,14.4,6.75,35.5
139.0,38712.5,52.5533392,-1.4655626,66.377,295.768,95.55,-0.38,0.1,0.0,67.42999,67.19,67.12,66.89999,-1.199982,67.12,0.07956004,-0.04997993,0.0,4.0,3.0,2721.0,80.0,0.0,-0.1900024,0.0,14.4,6.75,35.5
139.0,38712.6,52.5533465,-1.4655872,66.78,295.882,95.51,-0.37,0.1,0.0,67.72,67.53999,67.53999,67.37999,-1.0,67.57,0.07956004,-0.04997993,0.0,4.0,3.0,2737.0,81.0,0.0,0.04000854,0.0,14.3,6.75,35.5
139.0,38712.7,52.553353900000005,-1.4656119,67.205,296.066,95.46,-0.39,0.1,0.0,68.20999,67.95999,67.87999,67.87,-0.3999939,67.95,0.07956004,-0.02958012,0.0,4.0,3.0,2746.0,81.0,0.0,0.04000854,0.0,14.4,6.75,35.5
139.0,38712.8,52.5533613,-1.4656367,67.471,296.223,95.42,-0.39,0.1,0.0,68.53999,68.31999,68.17999,68.26999,0.2000122,68.25,0.07956004,0.0,0.0,4.0,3.0,2751.0,81.0,0.0,-0.1900024,0.0,14.4,6.75,35.5
139.0,38712.9,52.5533688,-1.4656616,67.939,296.22,95.36,-0.41,0.1,0.0,68.95999,68.75,68.56,68.61,0.3999939,68.65,0.07956004,0.009180069,0.0,4.0,3.0,2778.0,81.0,0.0,0.04000854,0.0,14.3,6.75,35.5
139.0,38713.0,52.5533763,-1.4656867999999998,68.407,296.093,95.33,-0.4,0.1,0.0,69.25999,69.14999,68.87999,68.89,0.6000061,69.1,0.07956004,0.009180069,0.0,4.0,3.0,2798.0,81.0,0.0,0.04000854,0.0,14.3,6.75,35.5
139.0,38713.1,52.5533839,-1.465712,68.62,296.106,95.26,-0.42,0.1,0.0,69.56999,69.51999,69.28,69.28,0.7000122,69.47,0.07956004,0.009180069,0.0,4.0,3.0,2803.0,81.0,0.0,-0.1900024,0.0,14.3,6.75,31.0
139.0,38713.2,52.5533914,-1.4657374,69.03399999999999,295.894,95.22,-0.42,0.1,0.0,69.86,69.92,69.51999,69.51999,0.8000183000000001,69.8,0.07956004,0.0,0.0,5.0,3.0,2809.0,81.0,0.0,0.04000854,0.0,14.4,6.75,27.0
139.0,38713.3,52.553399,-1.465763,69.52,296.031,95.17,-0.43,0.1,0.0,70.09999,70.08,69.91,69.97,0.6000061,70.13,0.06936002,0.009180069,0.0,5.0,3.0,2835.0,81.0,0.0,-0.1900024,0.0,14.4,6.75,23.5
139.0,38713.4,52.5534066,-1.4657888,69.829,295.83,95.11,-0.45,0.1,0.0,70.44,70.73999,70.11,70.14,0.6000061,70.39,0.04997993,0.009180069,0.0,5.0,3.0,2845.0,81.0,0.0,-0.1900024,0.0,14.4,6.75,18.0
139.0,38713.5,52.5534142,-1.4658145,69.977,295.811,95.06,-0.45,0.1,0.0,70.62,70.91,70.31999,70.47,0.8000183000000001,70.61,0.02957988,0.01937985,0.0,5.0,3.0,2868.0,81.0,0.0,0.04000854,0.0,14.3,6.75,17.0
139.0,38713.6,52.5534218,-1.4658404,70.063,295.704,95.0,-0.47,0.1,0.0,70.70999,70.83,70.59,70.59999,0.7000122,70.8,0.02957988,0.01937985,0.0,5.0,3.0,2857.0,81.0,0.0,0.04000854,0.0,14.4,6.75,17.0
139.0,38713.7,52.553429400000006,-1.4658664,70.506,295.619,94.96,-0.46,0.1,0.0,70.89999,70.98,70.78,70.83,0.8000183000000001,70.97,0.009180069,0.0,0.0,5.0,3.0,2868.0,81.0,0.0,0.04000854,0.0,14.3,6.75,16.5
139.0,38713.8,52.553437,-1.4658925,70.567,295.512,94.9,-0.47,0.1,0.0,70.98,70.95,70.94,70.81999,0.8000183000000001,71.02,0.0,0.01937985,0.0,5.0,3.0,2908.0,81.0,0.0,0.04000854,0.0,14.4,6.75,16.5
139.0,38713.9,52.553444600000006,-1.4659185,70.54899999999999,295.607,94.84,-0.48,0.1,0.0,71.0,70.97,71.14,70.92,1.300018,71.14,0.0,0.0397799,0.0,5.0,3.0,2954.0,81.0,0.0,0.04000854,0.0,14.4,6.75,16.5
139.0,38714.0,52.5534522,-1.4659447,70.808,295.346,94.79,-0.48,0.1,0.0,71.16,71.19,71.17999,70.95999,1.5,71.28,0.0,0.0397799,0.0,5.0,3.0,2984.0,81.0,0.0,0.04000854,0.0,14.4,6.75,16.5
139.0,38714.1,52.5534598,-1.4659709,70.83,295.316,94.72,-0.5,0.1,0.0,71.28,71.33,71.03999,71.09999,2.5,71.35,0.0,0.07956004,0.0,5.0,3.0,3008.0,81.0,0.0,-0.1900024,0.0,14.4,6.75,16.5
139.0,38714.2,52.5534673,-1.4659972,70.844,295.122,94.66,-0.51,0.1,0.0,71.44,71.45,71.3,71.37,2.800018,71.35,0.0,0.07956004,0.0,5.0,3.0,3023.0,81.0,0.0,0.04000854,0.0,14.3,6.75,16.5
139.0,38714.3,52.5534747,-1.4660237,71.262,294.79400000000004,94.6,-0.52,0.1,0.0,71.64999,71.58,71.26999,71.51999,2.5,71.52,0.0,0.08976007,0.0,5.0,3.0,2998.0,81.0,0.0,0.04000854,0.0,14.4,6.75,16.5
139.0,38714.4,52.5534821,-1.4660501,71.042,294.564,94.53,-0.53,0.1,0.0,71.78999,71.70999,71.47,71.75,2.399994,71.72,0.0,0.08976007,0.0,5.0,3.0,2982.0,81.0,0.0,-0.1900024,0.0,14.4,6.75,16.5
139.0,38714.5,52.5534894,-1.4660766,71.143,294.34,94.48,-0.53,0.1,0.0,71.73999,72.03,71.31999,71.61,2.600006,71.84,0.009180069,0.07956004,0.0,5.0,3.0,2739.0,81.0,0.0,0.04000854,0.0,14.4,6.75,16.5
